name,confidence,un_weight,basemodel,learn,rampup,randaugment,frozen,alpha,super_loss,un_super_loss,SRC_student,SRC_teacher,TGT_student,TGT_teacher,student,teacher,mask,im
Meanteacher01,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99,0.016,0.00094,88.03,82.71,62.47,66.18,75.25,74.44,0.556,0.974
Meanteacher01_02,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99,0.0188,0.00115,88.84,83.04,51.61,55.58,70.22,69.31,0.548,0.968
Meanteacher02,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99,0.0176,0.00106,88.71,83.71,59.15,62.51,73.93,73.11,,
Meanteacher05,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99,0.0178,0.00102,88.41,84.2,51.29,52.25,69.85,68.22,0.569,0.97
Meanteacher03,0.95,10.0,0.0,0,0.0,0.0,0.0,0.99,0.0168,0.00098,89.14,85.16,47.59,48.17,68.37,66.66,0.545,0.953
Meanteacher04,0.9,10.0,0.0,cosine,0.0,0.0,0.0,0.99,0.0139,0.00091,89.54,86.44,50.27,52.66,69.9,69.55,0.556,0.956
Meanteacher06,0.9,10.0,1.0,0,0.0,0.0,0.0,0.99,0.0158,0.00098,88.97,86.85,63.24,67.08,76.1,76.96,0.599,0.975
Meanteacher07,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99,0.0045,0.00038,89.12,85.39,69.45,72.28,79.28,78.84,0.667,0.976
Meanteacher08,0.97,10.0,1.0,0,0.0,0.0,0.0,0.99,0.0049,0.00036,89.28,87.53,64.18,67.28,76.73,77.4,0.612,0.969
Meanteacher09,0.85,10.0,1.0,0,0.0,0.0,0.0,0.99,0.0173,0.00122,88.82,86.32,65.01,70.12,76.91,78.22,0.593,0.979
Meanteacher09_20,0.85,10.0,20.0,1,0.0,0.0,0.0,0.99,0.0057,0.00048,90.28,85.85,66.5,68.53,78.39,77.19,0.613,0.988
Meanteacher09_40,0.85,10.0,40.0,1,0.0,0.0,0.0,0.99,0.0058,0.00043,90.56,88.45,69.55,71.81,80.06,80.13,0.679,0.989
Meanteacher09_60,0.85,10.0,60.0,1,0.0,0.0,0.0,0.99,0.0049,0.00039,91.04,87.7,68.91,71.72,79.97,79.71,0.651,0.99
Meanteacher09_80,0.85,10.0,80.0,1,0.0,0.0,0.0,0.99,0.0049,0.00038,90.73,88.25,69.86,72.56,80.3,80.4,0.641,0.991
