name,confidence,un_weight,basemodel,learn,rampup,randaugment,frozen,alpha
Meanteacher01,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99
Meanteacher01_02,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99
Meanteacher02,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99
Meanteacher05,0.9,10.0,0.0,0,0.0,0.0,0.0,0.99
Meanteacher03,0.95,10.0,0.0,0,0.0,0.0,0.0,0.99
Meanteacher04,0.9,10.0,0.0,cosine,0.0,0.0,0.0,0.99
Meanteacher06,0.9,10.0,1.0,0,0.0,0.0,0.0,0.99
Meanteacher07,0.95,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher08,0.97,10.0,1.0,0,0.0,0.0,0.0,0.99
Meanteacher09,0.85,10.0,1.0,0,0.0,0.0,0.0,0.99
Meanteacher09_20,0.85,10.0,20.0,1,0.0,0.0,0.0,0.99
Meanteacher09_40,0.85,10.0,40.0,1,0.0,0.0,0.0,0.99
Meanteacher09_60,0.85,10.0,60.0,1,0.0,0.0,0.0,0.99
Meanteacher09_80,0.85,10.0,80.0,1,0.0,0.0,0.0,0.99
Meanteacher09_100,0.85,10.0,0.0,1,0.0,0.0,0.0,0.99
Meanteacher10_01,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher10_02,0.8,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher11_02,0.85,10.0,0.0,1,0.0,0.0,0.0,0.99
Meanteacher11_03,0.85,10.0,0.0,1,0.0,0.0,0.0,0.99
Meanteacher12_01,0.85,10.0,0.0,1,0.0,0.0,0.0,0.99
Meanteacher12_02,0.85,10.0,0.0,1,0.0,0.0,0.0,0.99
Meanteacher13,0.0,10.0,0.0,0,20.0,0.0,0.0,0.99
Meanteacher14,0.8,10.0,0.0,0,80.0,0.0,0.0,0.99
Meanteacher14_01,0.8,10.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher14_02,0.8,10.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher15,0.825,10.0,1.0,0,0.0,0.0,0.0,0.99
Meanteacher15_01,0.825,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher16_01,0.875,10.0,1.0,1,0.0,0.0,0.0,0.99
Meanteacher16,0.875,10.0,1.0,0,0.0,0.0,0.0,0.99
Meanteacher17,0.0,1.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher17_01,0.85,1.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher17_02,0.85,1.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher18,0.0,5.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher19,0.0,3.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher19_01,0.0,3.0,0.0,1,80.0,0.0,0.0,0.99
Meanteacher19_02,0.0,3.0,0.0,1,80.0,0.0,0.0,0.99
